iter	Passed	Remaining
0	0	94
1	1	82
2	2	77
3	2	70
4	3	67
5	4	66
6	4	63
7	5	62
8	6	60
9	6	60
10	7	59
11	7	58
12	8	57
13	9	56
14	9	56
15	10	55
16	11	54
17	11	54
18	12	53
19	13	52
20	13	52
21	14	51
22	15	51
23	16	50
24	16	50
25	17	49
26	18	48
27	18	48
28	19	47
29	20	46
30	20	46
31	21	45
32	21	44
33	22	43
34	23	42
35	23	41
36	24	41
37	24	40
38	25	39
39	25	38
40	26	37
41	26	36
42	26	35
43	27	34
44	28	34
45	28	33
46	29	32
47	29	32
48	30	31
49	30	30
50	31	30
51	31	29
52	32	28
53	32	27
54	33	27
55	33	26
56	34	25
57	34	25
58	35	24
59	35	23
60	36	23
61	37	22
62	37	22
63	38	21
64	38	20
65	39	20
66	39	19
67	40	19
68	41	18
69	41	17
70	42	17
71	42	16
72	43	16
73	44	15
74	44	14
75	45	14
76	46	13
77	46	13
78	47	12
79	47	11
80	48	11
81	49	10
82	50	10
83	50	9
84	51	9
85	51	8
86	52	7
87	52	7
88	53	6
89	54	6
90	54	5
91	55	4
92	55	4
93	56	3
94	57	3
95	57	2
96	58	1
97	58	1
98	59	0
99	60	0
