iter	Passed	Remaining
0	1	1018
1	2	1017
2	2	947
3	3	878
4	4	838
5	4	801
6	5	792
7	6	779
8	6	760
9	7	753
10	8	741
11	8	734
12	9	730
13	10	724
14	10	715
15	11	710
16	12	703
17	12	696
18	13	690
19	13	685
20	14	683
21	15	688
22	16	688
23	17	698
24	18	704
25	18	702
26	19	697
27	19	692
28	20	689
29	21	684
30	21	679
31	22	674
32	22	670
33	23	667
34	24	662
35	24	659
36	25	656
37	25	652
38	26	648
39	26	644
40	27	641
41	28	639
42	28	637
43	29	634
44	29	632
45	30	630
46	30	627
47	31	626
48	32	627
49	33	628
50	33	629
51	34	628
52	35	626
53	35	623
54	36	621
55	36	618
56	37	616
57	37	614
58	38	613
59	39	611
60	39	609
61	40	606
62	40	605
63	41	603
64	41	602
65	42	600
66	43	600
67	43	600
68	44	600
69	45	602
70	46	606
71	47	611
72	48	610
73	48	609
74	49	608
75	49	607
76	50	605
77	51	604
78	51	602
79	52	600
80	52	598
81	53	596
82	53	592
83	54	590
84	54	589
85	55	588
86	55	587
87	56	585
88	57	584
89	57	582
90	58	581
91	58	581
92	59	580
93	60	583
94	61	586
95	62	587
96	63	587
97	63	587
98	64	586
99	65	585
100	65	584
101	66	583
102	66	581
103	67	580
104	67	579
105	68	578
106	69	578
107	70	578
108	70	578
109	71	577
110	71	576
111	72	577
112	73	577
113	74	579
114	75	582
115	76	583
116	77	581
117	77	581
118	78	579
119	78	578
120	79	577
121	79	575
122	80	574
123	81	572
124	81	571
125	82	569
126	82	567
127	83	566
128	83	565
129	84	564
130	84	562
131	85	561
132	86	560
133	86	560
134	87	562
135	88	562
136	89	561
137	89	560
138	90	560
139	91	559
140	91	560
141	92	559
142	93	560
143	94	561
144	95	561
145	95	560
146	96	559
147	96	558
148	97	557
149	98	555
150	98	554
151	99	553
152	99	552
153	100	551
154	100	550
155	101	549
156	102	548
157	102	547
158	103	546
159	104	546
160	104	545
161	105	545
162	106	545
163	106	544
164	107	543
165	107	542
166	108	541
167	109	540
168	109	538
169	110	537
170	110	536
171	111	535
172	111	534
173	112	533
174	112	532
175	113	531
176	114	530
177	114	529
178	115	528
179	115	527
180	116	525
181	116	524
182	117	523
183	117	523
184	118	524
185	119	524
186	120	525
187	121	524
188	121	523
189	122	522
190	123	521
191	123	520
192	124	519
193	124	517
